,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
239,0.9940816,0.11356292,144.0,3,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
240,0.864966,0.118987605,144.0,4,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
241,0.85108846,0.14556007,144.0,4,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
242,0.66571426,0.22387715,144.0,5,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
243,0.61965984,0.3271343,144.0,5,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
244,0.7104762,0.22289506,144.0,6,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
245,0.81809527,0.117803,144.0,6,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
246,0.9691837,0.12095442,144.0,7,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
247,0.8704762,0.41283458,144.0,7,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
248,0.9961905,0.21484466,144.0,8,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
249,0.99714285,0.1442112,144.0,8,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
250,0.9692517,0.13548055,144.0,9,session_E,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
251,0.88081634,0.41678777,144.0,9,session_T,22,2,001-2014,TangentSpace_logeuclid_SVC(C=1)
